Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
06.09.2021;52.676,00;51.762,00;52.709,00;51.062,00;4,84K;1,77%
06.10.2021;55.331,00;51.508,00;55.724,00;50.448,00;10,52K;7,42%
06.12.2021;50.566,60;49.469,00;50.974,00;47.295,00;8,05K;2,22%
07.01.2021;39.407,00;36.755,00;39.672,00;36.755,00;22,11K;7,22%
07.01.2022;41.518,00;43.111,00;43.132,00;40.755,00;7,40K;-3,70%
07.02.2022;43.865,00;42.416,00;44.500,00;41.715,00;5,52K;3,40%
07.03.2022;38.039,00;38.437,00;39.559,00;37.198,00;6,78K;-1,04%
07.04.2021;55.960,00;57.991,00;58.490,00;55.960,00;8,85K;-3,50%
07.05.2021;57.349,00;56.451,00;58.101,00;55.606,00;6,93K;1,59%
07.06.2021;33.596,00;35.782,00;36.613,30;33.596,00;9,97K;-6,11%
07.07.2021;33.886,00;34.256,00;35.076,00;33.826,00;3,51K;-0,74%
07.09.2021;46.778,00;52.676,00;52.888,00;43.347,00;16,70K;-11,20%
07.10.2021;53.793,00;55.331,00;55.339,00;53.444,00;4,95K;-2,78%
07.12.2021;50.634,00;50.566,60;51.969,00;50.102,00;3,91K;0,13%
08.01.2021;40.509,00;39.407,00;41.616,00;37.723,00;21,79K;2,80%
08.02.2021;46.440,00;38.841,00;46.440,00;38.250,00;24,79K;19,56%
08.02.2022;44.060,50;43.865,00;45.400,00;42.713,00;7,62K;0,45%
08.03.2021;52.395,00;51.031,20;52.395,00;49.821,00;6,15K;2,67%
08.03.2022;38.757,00;38.039,00;39.385,10;37.906,00;5,51K;1,89%
08.04.2021;58.110,00;55.960,00;58.110,00;55.960,00;4,48K;3,84%
08.06.2021;33.415,00;33.596,00;33.744,80;31.547,60;12,92K;-0,54%
08.07.2021;32.873,90;33.886,00;33.939,00;32.063,00;14,29K;-2,99%
08.09.2021;46.088,00;46.778,00;47.342,40;44.509,90;7,55K;-1,48%
08.10.2021;53.925,00;53.793,00;56.000,00;53.649,00;5,48K;0,25%
08.11.2021;67.526,00;63.259,10;67.665,00;63.259,10;8,98K;6,75%
08.12.2021;50.503,40;50.634,00;51.239,00;48.760,00;4,03K;-0,26%
09.02.2021;46.486,00;46.440,00;48.004,00;45.882,00;15,90K;0,10%
09.02.2022;44.432,00;44.060,50;44.839,60;43.160,00;3,71K;0,84%
09.03.2021;54.949,40;52.395,00;54.949,40;52.395,00;8,20K;4,88%
09.03.2022;41.962,30;38.757,00;42.593,00;38.692,50;5,96K;8,27%
09.04.2021;58.114,00;58.110,00;58.683,00;57.849,00;3,75K;0,01%
09.06.2021;37.347,00;33.415,00;37.490,00;32.673,00;26,97K;11,77%
09.07.2021;33.769,00;32.873,90;34.044,00;32.574,00;6,66K;2,72%
09.08.2021;46.293,00;43.770,00;46.432,20;42.792,00;10,72K;5,76%
09.09.2021;46.389,00;46.088,00;47.397,00;45.591,00;3,85K;0,65%
09.11.2021;66.935,00;67.526,00;68.429,00;66.343,00;6,46K;-0,88%
09.12.2021;47.611,00;50.503,40;50.824,00;47.408,00;5,28K;-5,73%
10.01.2022;41.839,00;41.850,00;42.270,00;39.677,00;9,55K;-0,03%
10.02.2021;44.835,00;46.486,00;47.056,00;44.541,00;10,02K;-3,55%
10.02.2022;43.545,00;44.432,00;45.851,00;43.255,00;7,33K;-2,00%
10.03.2021;55.955,20;54.950,00;57.033,00;53.698,70;10,68K;1,83%
10.03.2022;39.458,50;41.964,00;42.069,00;38.646,00;6,67K;-5,97%
10.05.2021;55.851,00;58.276,00;59.454,30;55.448,00;13,49K;-4,16%
10.06.2021;36.649,20;37.347,00;37.933,00;36.559,00;9,57K;-1,87%
10.08.2021;45.612,00;46.291,00;46.674,00;44.644,00;6,37K;-1,47%
10.09.2021;44.852,00;46.389,00;47.036,00;44.265,10;5,18K;-3,31%
10.11.2021;64.954,00;66.935,00;68.925,00;63.123,00;12,23K;-2,96%
10.12.2021;47.170,00;47.611,00;50.105,00;47.060,00;8,17K;-0,93%
11.01.2021;35.476,00;38.226,00;38.226,00;31.842,00;48,04K;-7,19%
11.01.2022;42.743,00;41.839,00;43.113,00;41.287,00;4,79K;2,16%
11.02.2021;47.966,00;44.835,00;47.981,00;44.444,00;10,30K;6,98%
11.02.2022;42.418,00;43.545,00;43.965,00;42.053,00;5,61K;-2,59%
11.03.2021;57.869,00;55.939,00;57.921,00;54.834,00;8,66K;3,42%
11.03.2022;38.737,00;39.458,50;40.228,00;38.236,40;9,57K;-1,83%
11.05.2021;56.715,00;55.851,00;56.724,00;54.789,00;7,69K;1,55%
11.06.2021;37.338,00;36.649,20;37.427,00;36.342,00;6,42K;1,88%
11.08.2021;45.546,00;45.612,00;46.725,00;45.358,00;4,32K;-0,14%
11.10.2021;57.468,00;54.701,00;57.802,50;54.430,00;7,51K;5,06%
11.11.2021;64.801,00;64.954,00;65.541,00;64.089,00;2,86K;-0,24%
12.01.2021;34.103,00;35.448,00;35.838,60;33.616,00;22,18K;-3,87%
12.01.2022;43.909,00;42.743,00;44.305,00;42.475,00;3,77K;2,73%
