Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
28.07.2021;24,877;24,73;25,06;24,655;54,85K;0,92%
28.09.2021;22,467;22,625;22,68;22,08;55,49K;-1,00%
28.10.2021;24,12;24,13;24,31;24,02;45,96K;-0,29%
28.12.2021;23,111;23,055;23,295;23,055;0,15K;0,57%
29.01.2021;27,037;26,725;27,83;26,43;0,98K;3,76%
29.03.2021;24,841;25,05;25,05;24,6;0,28K;-0,96%
29.04.2021;26,115;26,425;26,585;25,82;2,83K;-0,14%
29.06.2021;25,901;26,235;26,235;25,58;75,84K;-1,34%
29.07.2021;25,782;25,015;25,875;25;70,55K;3,64%
29.09.2021;21,485;22,475;22,565;21,41;80,16K;-4,37%
29.10.2021;23,949;24,135;24,14;23,705;57,80K;-0,71%
29.11.2021;22,799;23,135;23,415;22,73;10,39K;-3,35%
29.12.2021;22,848;23,005;23,005;22,635;0,04K;-1,14%
30.03.2021;24,209;24,68;24,82;23,995;0,34K;-2,54%
30.04.2021;25,9;26,2;26,295;25,885;3,49K;-0,82%
30.05.2021;28,058;28,06;28,085;28,035;-;0,05%
30.06.2021;26,194;25,875;26,275;25,8;44,64K;1,13%
30.07.2021;25,547;25,6;25,685;25,395;43,33K;-0,91%
30.08.2021;24,006;24,13;24,28;23,95;47,98K;-0,59%
30.09.2021;22,047;21,515;22,225;21,46;66,12K;2,62%
30.11.2021;22,765;22,885;23,26;22,705;2,51K;-0,15%
30.12.2021;23,091;22,905;23,155;22,655;-;1,06%
31.01.2022;22,432;22,505;22,695;22,295;-;0,08%
31.03.2021;24,609;24,06;24,62;23,825;0,42K;1,65%
31.05.2021;28,192;28,055;28,258;27,997;-;0,48%
31.08.2021;24,006;24,065;24,27;23,83;44,56K;0,00%
31.12.2021;23,381;23,1;23,41;23,1;-;1,26%
