Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
16.07.2021;71,81;71,48;72,3;70,41;133,93K;0,22%
16.08.2021;67,29;67,71;68,27;65,73;334,84K;-1,68%
16.09.2021;72,61;72,65;72,99;71,53;298,41K;0,00%
16.11.2021;80,76;80,93;81,81;80,03;325,67K;-0,15%
16.12.2021;72,38;71,48;72,99;71,03;142,54K;2,13%
17.01.2021;52,2;52,09;52,38;52,09;-;-0,31%
17.01.2022;83,69;83,84;83,95;82,94;-;-0,17%
17.02.2021;61,14;60,24;61,73;59,43;335,42K;1,82%
17.02.2022;91,76;90,9;93,36;90,62;212,55K;-2,03%
17.03.2021;64,6;64,75;65,34;63,6;254,72K;-0,31%
17.03.2022;102,98;95,34;104,24;94,85;210,76K;8,35%
17.05.2021;66,27;65,5;66,43;64,83;268,48K;1,38%
17.06.2021;71,04;71,65;72,3;69,77;373,78K;-1,54%
17.08.2021;66,59;67,43;67,72;66,33;235,30K;-1,04%
17.09.2021;71,97;72,62;72,72;71,21;119,93K;-0,88%
17.11.2021;78,36;80,54;80,69;77,69;174,47K;-2,97%
17.12.2021;70,86;71,92;72,26;69,89;78,13K;-2,10%
18.01.2021;52,36;52,2;52,61;51,83;-;0,31%
18.01.2022;85,43;84,32;86,63;83,5;163,64K;2,08%
18.02.2021;60,52;61,68;62,26;59,79;132,04K;-1,01%
18.02.2022;91,07;91,63;92,66;89,03;150,38K;-0,75%
18.03.2021;60;64,42;64,82;58,2;143,60K;-7,12%
18.03.2022;104,7;103,62;106,28;102,3;74,25K;1,67%
18.05.2021;65,49;66,33;67,01;64,11;167,35K;-1,18%
18.06.2021;71,64;71,1;72,17;70,16;139,58K;0,84%
18.08.2021;65,46;66,58;67,48;64,34;121,20K;-1,70%
18.10.2021;82,44;82,6;83,87;81,84;134,10K;0,19%
18.11.2021;79,01;78,34;79,36;77,08;83,98K;0,83%
19.01.2021;52,98;52;53,13;51,76;125,96K;1,18%
19.01.2022;86,96;86,61;87,91;85,77;113,15K;1,79%
19.02.2021;59,24;60,2;60,29;58,59;102,43K;-2,12%
19.03.2021;61,42;59,56;61,72;58,94;84,17K;2,37%
19.04.2021;63,38;62,98;63,63;62,63;74,38K;0,40%
19.05.2021;63,36;65,28;65,35;61,95;101,90K;-3,25%
