Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
28.01.2021;1.853,90;1.867,00;1.867,00;1.867,00;0,00K;-0,44%
28.01.2022;1.786,60;1.799,60;1.800,30;1.780,60;217,15K;-0,47%
28.02.2022;1.900,70;1.921,00;1.935,20;1.892,20;249,27K;0,69%
28.03.2022;1.936,75;1.956,65;1.958,30;1.924,60;-;-1,03%
28.04.2021;1.783,50;1.775,40;1.775,90;1.775,40;0,01K;-0,27%
28.05.2021;1.913,10;1.908,90;1.909,20;1.896,00;0,18K;0,34%
28.06.2021;1.788,30;1.783,30;1.783,30;1.783,30;0,02K;0,16%
28.07.2021;1.808,10;1.813,80;1.813,90;1.803,70;2,46K;0,04%
28.09.2021;1.741,10;1.750,80;1.754,20;1.732,00;0,79K;-0,83%
28.10.2021;1.806,40;1.800,60;1.814,10;1.797,20;2,32K;0,21%
28.12.2021;1.813,30;1.814,90;1.823,60;1.808,00;2,64K;0,12%
29.01.2021;1.862,10;1.870,50;1.870,50;1.870,50;0,01K;0,44%
29.03.2021;1.723,30;1.732,80;1.732,80;1.720,00;0,00K;-1,14%
29.04.2021;1.777,60;1.770,10;1.780,00;1.770,10;0,01K;-0,33%
29.06.2021;1.771,00;1.778,00;1.778,00;1.758,80;0,38K;-0,97%
29.07.2021;1.839,40;1.820,00;1.840,70;1.820,00;0,73K;1,73%
29.09.2021;1.726,30;1.737,60;1.749,20;1.725,00;0,99K;-0,85%
29.10.2021;1.787,60;1.804,80;1.805,90;1.776,20;0,98K;-1,04%
29.11.2021;1.787,10;1.792,40;1.803,00;1.784,00;3,17K;-0,16%
29.12.2021;1.808,20;1.809,80;1.810,00;1.791,90;3,24K;-0,28%
30.03.2021;1.694,30;1.700,00;1.700,00;1.693,50;0,02K;-1,68%
30.04.2021;1.777,10;1.775,60;1.779,20;1.773,70;0,00K;-0,03%
30.05.2021;1.906,75;1.907,60;1.907,90;1.906,10;-;-0,33%
30.06.2021;1.779,30;1.764,00;1.771,20;1.764,00;0,19K;0,47%
30.07.2021;1.820,80;1.835,70;1.836,90;1.818,00;0,91K;-1,01%
30.08.2021;1.816,20;1.824,80;1.827,60;1.815,40;0,09K;-0,41%
30.09.2021;1.759,70;1.732,90;1.766,00;1.727,70;3,44K;1,93%
30.11.2021;1.778,30;1.788,80;1.813,10;1.773,20;3,42K;-0,49%
30.12.2021;1.816,60;1.807,40;1.820,30;1.798,80;6,52K;0,46%
31.01.2022;1.796,40;1.792,80;1.800,90;1.785,80;139,42K;0,55%
31.03.2021;1.723,90;1.688,40;1.723,10;1.688,40;0,02K;1,75%
31.05.2021;1.911,15;1.906,80;1.913,40;1.904,85;-;0,23%
31.08.2021;1.822,10;1.817,00;1.823,10;1.808,00;0,40K;0,32%
31.12.2021;1.831,00;1.819,10;1.833,60;1.818,00;5,23K;0,79%
